Ticker,ABCB,ABTX,AJX,ARI,AXP,BAC,BBT,BK,BOKF,C,CFG,CFR,CIT,CMA,CNND,COF,DFS,EWBC,FCNCA,FFIN,FHB,FITB,FMAO,FMBH,FNB,GBCI,GS,HBAN,HBHC,HOMB,HTH,IBKR,IBOC,ISBC,JPM,KEY,LARK,MBWM,MCBC,MS,MTB,NAVI,NKSH,NTRS,OPY,PACW,PBCT,PGC,PNC,PNFP,RF,SCHW,SFBC,SIVB,SLFC,SRCE,STBA,STT,SYF,TFSL,TSC,UMBF,USB,WAL,WFC,WSBC,ZION
CFR,0.993136071595425,0.9950765924349908,0.9877395590847434,0.9418755200692877,0.9645502108669999,0.9997632341606859,0.9990696075244323,0.9992165769080077,0.9974351328365553,0.9991995854683737,0.9976346351608414,1.0,0.9953732945295607,0.9969670128358931,0.9958188881767628,0.9986098635580115,0.9943900753016145,0.9960028783577213,0.9998144540073849,0.9968918057670204,0.9995089375809872,0.9993724852251133,0.9971581301471182,0.9982524147943882,0.9972396430270438,0.9995850574147346,0.990937367067904,0.9988150324332759,0.9989027761709393,0.9952805758934232,0.9902924990276893,0.9978715512543459,0.9970501792960793,0.9972139606410124,0.9991753939767426,0.9997254688875664,0.9994832773069309,0.9936097839301798,0.9951423294820273,0.9771846131806136,0.9898459253256895,0.9832728009312562,0.9979132747326945,0.9992677239602751,0.8919435194324,0.9946419909185853,0.996042807109095,0.9946670012562244,0.9983547196909307,0.9957051104534299,0.9977659202934896,0.9749770361583648,0.989585160650936,0.9971142555356065,0.9836193286254956,0.9969075511537765,0.9928292648534794,0.99915512902066,0.9884996619432728,0.9891314662265475,0.9915139132762175,0.9998578487470162,0.9990557561558597,0.9963792585462646,0.9998462865710729,0.9958507544651536,0.9984903911372005
CIT,0.9990007966990029,0.999469690468652,0.9849653979405025,0.912827028818276,0.9415572755630537,0.9934393677463619,0.9973733617959815,0.9911263224136799,0.9862184461257288,0.9911378750564949,0.9993166349550312,0.9953732945295607,0.9999999999999999,0.9984385244632948,0.9991656421620279,0.9920701177333968,0.9958789415196099,0.9991971944420771,0.9957668680087338,0.9860052899817086,0.9957265334627216,0.9915651498396787,0.998306133841887,0.9988353936229376,0.9989600010570056,0.995004873530761,0.9740426952577139,0.9984402817953367,0.9986920065794952,0.9980161596515981,0.99400263897952,0.9914583378702115,0.99257235571073,0.9994489054835445,0.991229214914964,0.9930420128142475,0.9963315951055794,0.9995667128332204,0.999659545685074,0.953363346841818,0.9976188986036384,0.9949796902546783,0.9882679776184218,0.9920271514688156,0.8895297640123199,0.9974261115456553,0.9996170586336242,0.999753789426694,0.9977755484853885,0.9991095003358494,0.9992140634032886,0.9506096170521644,0.9981425588747249,0.9862426892763453,0.9891842096144748,0.9989574636437432,0.9986315773186976,0.9910315453647639,0.9948200252699018,0.9978010335184455,0.9988814611514639,0.9941892272401534,0.9964762511062911,0.9994530235120724,0.995504154031421,0.9980765780581585,0.9990232091662177
CMA,0.9975481185455005,0.9983633486930815,0.9851108341159965,0.9157131688014304,0.9458919802561252,0.9951995582459789,0.9975594345630665,0.9938521419816675,0.9895884985036583,0.9936537189543982,0.9987938778045597,0.9969670128358931,0.9984385244632948,1.0000000000000002,0.9993133942697402,0.994562482144698,0.9983507210082835,0.999636642452678,0.9975892100431557,0.9891332358111872,0.9959908657644252,0.994393163480342,0.999412565867895,0.9987426900513027,0.9981432527155921,0.9958200621860345,0.9788539413661462,0.9978178289407872,0.9985854324024351,0.9980642657925264,0.993228838227513,0.991968811930882,0.9967270962272432,0.9993642616613387,0.9936241746939423,0.9952544113189823,0.9968663614566473,0.9981435828572189,0.9979590869873299,0.9590101958301707,0.9975068944523052,0.9927921066434718,0.9925857759858608,0.9943242209679725,0.8915748315234148,0.9958968431570713,0.9983824634394884,0.9986936405575101,0.9995232355545461,0.998434212423171,0.9984621152932251,0.9555207169660106,0.9970719590524842,0.9887272453159272,0.988391378430721,0.9993067425413324,0.9984414803144432,0.9935405896312901,0.9947853419402563,0.9966311204540252,0.9971490326370811,0.995764336821043,0.9989775114520872,0.9979589216094925,0.9974256609808583,0.997773119225458,0.999267018327144
CNND,0.9986114152484009,0.9987675284539264,0.9833455591595794,0.9102488688071375,0.9452682354894208,0.9938429286859393,0.9972082554805012,0.992289121416738,0.987357371090575,0.9919346079325495,0.9988295962674865,0.9958188881767628,0.9991656421620279,0.9993133942697402,1.0,0.9931253760533526,0.9982870550519314,0.99949360997651,0.9966935233229609,0.9869021259471058,0.9952472274527365,0.9925286121510771,0.9988242482199291,0.9986600275925634,0.9981361456375072,0.995078309664172,0.9758358771451107,0.9979617251295556,0.9982549876038819,0.9978262271772764,0.9955788887740166,0.9913000142066206,0.994299889702344,0.9993324890626929,0.9921338920925247,0.9938157784262338,0.9967691949815904,0.9991098212688183,0.9989164304179307,0.9553222156662932,0.998062432000641,0.9945445284882202,0.9897446878003374,0.9930463436998491,0.8979575315000956,0.9947335983188411,0.9987477232910001,0.9992551280741568,0.9986205712876017,0.9984543767506959,0.9987075863436077,0.9514431674937057,0.9981125748948543,0.9870896036279245,0.9913280513805351,0.9992395723898669,0.9984416954444926,0.9920252360815394,0.9964640112906439,0.9971732386536326,0.9981329034736529,0.994758050000472,0.9978545736990542,0.9987439390778251,0.9962705003659411,0.9973260089668863,0.9990771604594
COF,0.9909602687403131,0.9924830745266054,0.990837705923623,0.9496417269390017,0.9721170066145949,0.998346537934412,0.9981213756278279,0.9990908776350286,0.9980692496415737,0.998081501776847,0.9954166268994633,0.9986098635580115,0.9920701177333968,0.994562482144698,0.9931253760533526,1.0,0.9935682519191419,0.9931668269005838,0.9980710017132901,0.9985531962096429,0.9981124608866405,0.9991089802838649,0.9959385502975379,0.9964592387603863,0.9951987716772225,0.9988705505730636,0.9917422254734715,0.9963011130566995,0.9966224259594666,0.9943360929757917,0.9914393502131166,0.9947649693513878,0.9980676214691746,0.9944661414730286,0.9979806346926563,0.9989838126142835,0.99844675869919,0.9900958024115983,0.9912873640069745,0.9797992797163588,0.9868796781067106,0.9762881995699035,0.9989148733297198,0.9977552103600748,0.9085251861453472,0.9907603653849826,0.9932322696848737,0.990882362470405,0.996999084135739,0.9935602314329546,0.9956506627058274,0.9766844046145847,0.985807909807238,0.9960649693326461,0.9860043338323076,0.9953283174905336,0.9904741013253809,0.9982679670108792,0.988721776885961,0.9851831960969711,0.9862520838649972,0.9985757007050924,0.9976963702566525,0.9928548850412744,0.9984645895738803,0.9948637009770808,0.995895074323124
DFS,0.9955301754089745,0.9954123685590252,0.9807021813067902,0.9083845564358944,0.9497534956421387,0.9923614244028369,0.994981862042219,0.9919590062158278,0.9873969993152595,0.9911640910553848,0.9959748824760116,0.9943900753016145,0.9958789415196099,0.9983507210082835,0.9982870550519314,0.9935682519191419,1.0000000000000002,0.99736413941294,0.9955975528717631,0.9866969640559924,0.9924756662865128,0.9922232976879182,0.9975418197299599,0.996107759737307,0.9947850377632769,0.9930030900071473,0.9767955154820447,0.9948751668019946,0.9957585080548016,0.9956514519367772,0.9951666047058081,0.9884168851528932,0.995558644794249,0.9966550966852733,0.9913103711115316,0.993037855415019,0.9948657839622458,0.9955874932047151,0.9947828290367665,0.9568520117320963,0.9961864915423659,0.9902111670496941,0.9905482385469254,0.9921453645354276,0.9094064082367384,0.9902267738753023,0.9951372171130496,0.9958908632368255,0.9977112077977747,0.9953717776540553,0.9957408564676999,0.9514695527640528,0.995207215282974,0.985980738061728,0.9923668414200755,0.9974303764276126,0.9963211385468118,0.991332122047873,0.9972342500456108,0.9936660045386619,0.9939636969724269,0.9933534446890673,0.9977569626456186,0.994695769296916,0.99547995917076,0.9948128963904537,0.9967485034406411
EWBC,0.9988704172726662,0.9994197723944371,0.9860984350708124,0.9129604758333397,0.9412625626859957,0.9939484061534889,0.9975141179921293,0.9921558472051253,0.9873907679176097,0.9918942821247028,0.9992740918324791,0.9960028783577213,0.9991971944420771,0.999636642452678,0.99949360997651,0.9931668269005838,0.99736413941294,0.9999999999999997,0.9965087312844534,0.987411394941157,0.9957271149634404,0.9926922320929426,0.9994297826865218,0.999025479760574,0.9988683170398193,0.9953232394666871,0.9753465319295405,0.9979728901346915,0.9985284809218185,0.9988216838414264,0.9938076071621209,0.9909366920538779,0.9953228919122561,0.999770445531627,0.9919038078437569,0.9938209660482676,0.9964580441887066,0.9993330650143241,0.9990878805526745,0.954505675533013,0.9984851442737269,0.9944526390301724,0.9904673336147001,0.9926430364768373,0.8892472163443192,0.9964656167619016,0.9993309142588946,0.9995606402872625,0.9990962838029888,0.9993524378940466,0.9989734361185617,0.9513445287688115,0.998366561123137,0.9866803184617856,0.989263477428715,0.9996053344438367,0.9992855134100858,0.9917618898175469,0.9952849909983321,0.9981677565949504,0.9984156171884011,0.9946245846785619,0.9978436062044834,0.9989242603473419,0.9961814386224457,0.9984691456699238,0.999248612366153
FCNCA,0.9934226298810713,0.9951728282386265,0.9854903005259963,0.9364949310022905,0.9634009668722854,0.999470991659287,0.9987129515770093,0.9988926014178899,0.9967202126260463,0.9989363321159229,0.9976153204540515,0.9998144540073849,0.9957668680087338,0.9975892100431557,0.9966935233229609,0.9980710017132901,0.9955975528717631,0.9965087312844534,1.0000000000000002,0.9957626646782257,0.9989130134594418,0.9989936932019475,0.9972957720983676,0.9981890256516401,0.9969764038807971,0.999046322526802,0.9901793856384145,0.9987735998636337,0.9988512663699023,0.9950855698148616,0.9908906215637673,0.9977620277304724,0.9968353136181228,0.9974692998490945,0.9989924256963774,0.9994523937986005,0.999346198736775,0.9941468623702191,0.9955121471190815,0.9757038482141838,0.9907944167041515,0.9849776316779011,0.9972720537165909,0.9992625822063397,0.8931738485578551,0.9941059254639845,0.9960739163256108,0.995205909220613,0.9985437661750072,0.9956295885833036,0.9977183581236901,0.9730503867068705,0.9905544303266316,0.9966770239297886,0.9843523936456249,0.997109371479547,0.9932164117700567,0.9989355339355088,0.9895134124548259,0.989777623076737,0.992402202165371,0.9996732841829418,0.9994589554109511,0.9965912820755375,0.9999103502925141,0.9954214288780008,0.9987356636990714
FFIN,0.9842454398045573,0.9867449417177672,0.98961097226657,0.963280062427403,0.9776907481748799,0.9975930112478665,0.99526508388561,0.9987760137035097,0.999394182613509,0.9979250621539237,0.9909309635006617,0.9968918057670204,0.9860052899817086,0.9891332358111872,0.9869021259471058,0.9985531962096429,0.9866969640559924,0.987411394941157,0.9957626646782257,0.9999999999999999,0.9966954357768337,0.9986597379952956,0.9910010220577953,0.9924293231771391,0.9909943561454698,0.997548201951633,0.9957165363902429,0.9930056407554673,0.9929451792901223,0.9890972347097265,0.984442940446722,0.9947051051467076,0.9951586733646302,0.9895283851321236,0.9977597404282252,0.9980997151601775,0.9961155343298879,0.9834503898411481,0.9857379986824163,0.9874979513066885,0.978439583585331,0.9665870521983634,0.9990883821327903,0.9971065855206666,0.8990512042971461,0.9865378232889361,0.9880655875546478,0.9846081492788941,0.9927951341303359,0.9883133246241924,0.9913387892100505,0.9855570318984658,0.9773680678637228,0.997621039543586,0.9774387006842611,0.990115698435738,0.9833537951809955,0.9980673776254763,0.9797512417431431,0.9771111987746182,0.9790570121830849,0.9973771164004456,0.9941098460112965,0.9880912311922496,0.9961959297478755,0.990100412715045,0.9916847928475844
FHB,0.9939507775994041,0.9958079675755812,0.990388605474018,0.945031202945116,0.9630821967907378,0.9991958258625293,0.9994858965367214,0.9983441473802263,0.9965395660665655,0.9982111727050771,0.9980808333241964,0.9995089375809872,0.9957265334627216,0.9959908657644252,0.9952472274527365,0.9981124608866405,0.9924756662865128,0.9957271149634404,0.9989130134594418,0.9966954357768337,0.9999999999999999,0.9984753117098832,0.9969456385618857,0.9985987104015247,0.9980886059912937,0.9998554090655167,0.9891757674055448,0.9991640570800496,0.9989948189759136,0.9959427823905069,0.9905798843371759,0.9974884711282029,0.9958837444698023,0.9972936665495331,0.9981823206048275,0.998983090402839,0.999522063986388,0.9940836146029812,0.9957993595093443,0.9755049322814372,0.9895656823459452,0.982955724774241,0.9967697198551879,0.9981610860631704,0.8904723507807195,0.9954870505495423,0.9968006027894175,0.9948604333238247,0.9977480799465963,0.99643904745359,0.998319234033279,0.973930506818179,0.9896244710417283,0.9962137137286605,0.9839688506079288,0.9969333591521118,0.9929586359691525,0.9981566859505188,0.9880489069881696,0.9895482350127811,0.9916878096556331,0.9993154910342583,0.9977705078299941,0.9970780520854078,0.9989094719148577,0.9966991583849512,0.9983074996121706
FITB,0.9889887915613458,0.9913312638661438,0.9870635484573612,0.9500320580683541,0.9713651361760597,0.9996671482517923,0.9975288333109429,0.9999264608481293,0.999244311423054,0.9997487998392063,0.9948342778321314,0.9993724852251133,0.9915651498396787,0.994393163480342,0.9925286121510771,0.9991089802838649,0.9922232976879182,0.9926922320929426,0.9989936932019475,0.9986597379952956,0.9984753117098832,0.9999999999999999,0.9947826576520961,0.9958479301219731,0.9943882020227225,0.9989291639340945,0.9946355556085158,0.9965821963190236,0.9967291753458212,0.9923434158140609,0.9874629534623599,0.9974964173476192,0.9969507636572134,0.9941678819012305,0.9996599683536759,0.9998928682973864,0.998351788352443,0.9892325161885095,0.9910904253234887,0.9833280145240814,0.9851662565397107,0.9766350922456435,0.9993598091439727,0.999488632764173,0.8944060877510729,0.9913878984737313,0.9925161223511674,0.9905698829773412,0.9965049937029417,0.9923457395394892,0.9950309080558335,0.9810433350147002,0.9844581829079975,0.9984706994555788,0.9803889221264045,0.994155600510848,0.9888281314377048,0.9997523119531364,0.9848398850268709,0.9839032837525621,0.986462765611641,0.9995614581072783,0.9979424470084092,0.9928000872883017,0.9992462631377925,0.9930998607803564,0.9960391235248817
FMAO,0.9984241285370529,0.9990163791277883,0.990132438371916,0.9228358426473803,0.9487328885423085,0.9952999822801105,0.9986705467040118,0.9943175093164355,0.9903548737535648,0.9935357305732202,0.9993529696149509,0.9971581301471182,0.998306133841887,0.999412565867895,0.9988242482199291,0.9959385502975379,0.9975418197299599,0.9994297826865218,0.9972957720983676,0.9910010220577953,0.9969456385618857,0.9947826576520961,1.0,0.999433806623892,0.9991355742235587,0.9969244157559626,0.978950997258562,0.9981022925332412,0.9987576910936655,0.9994822720895328,0.99501796227975,0.991411951082808,0.997674765230188,0.9994368119901884,0.99345708800894,0.9955219354778518,0.9975927628083617,0.9981488586484677,0.9979359092833527,0.9599071694129213,0.9972462778640842,0.9905750343742523,0.9934668508924871,0.9939173078795556,0.8981192353008555,0.9959437542278775,0.9989315411227018,0.9983419928206474,0.9997380219245277,0.9993319836633517,0.9991262818369188,0.9565392589550084,0.996652889008322,0.9886697113185787,0.9906265996957572,0.9998755795522639,0.9987454464503294,0.9935157943334508,0.9954958188843966,0.9965047188218098,0.9961307241369263,0.9959233096435137,0.9985931605704118,0.9981157769360891,0.9972301674171017,0.9992836205892495,0.9991579140611948
